exp_name	q	stim	selected_m	selected_alpha	xrmse	auc	cc	tau
4_pop_stim_full_inh_2	912.25	2	1	0.4	0.2053153061159099	1.0	0.8961808966677303	1.7897727272727275
4_pop_stim_full_inh_2	912.25	3	1	0.7	0.4798533869821955	1.0	0.793899469127501	1.4526516020915925
4_pop_stim	1023.5	0	1	0.7	0.5841039093574749	0.5	-0.299488741335747	-24.64953271028037
4_pop_stim	1023.5	2	1	1.0	0.2378508951185803	1.0	0.8129514409892302	1.2472762109028894
60_pop_stim_5	108.15	0	5	0.8	0.0573453326425875	1.0	0.933475171416911	2.0
60_pop_stim_5	108.15	23	5	0.8	0.1080338929516738	1.0	0.9211716839927636	5.642329252945888
60_pop_stim_5	108.15	24	5	0.5	0.2050712664726124	1.0	0.9633903693939496	0.0
60_pop_stim_5	108.15	35	5	0.5	0.0999295378131316	1.0	0.914725610180627	1.810329273793415
60_pop_stim_5	108.15	37	5	0.8	0.1049958934811661	1.0	0.8063204896644456	-2.0490842110724845
60_pop_stim_5	108.15	38	5	0.8	0.0518668303239264	1.0	0.8530290825434967	5.644949118888061
60_pop_stim_5	108.15	46	5	0.8	0.0624229371782003	1.0	0.7292695245561873	-4.185520541930081
60_pop_stim_5	108.15	48	5	0.8	0.1490768538591782	1.0	0.8170065481476015	-13.952418117716716
60_pop_stim_5	108.15	55	5	0.8	0.064549400282974	1.0	0.6285852100068696	3.613534528972708
60_pop_stim_5	108.15	56	5	0.8	0.0656804154001831	1.0	0.8913189108323414	3.796976537382858
32_pop_stim_full_inb_new	448.84375	4	5	1.0	0.1824619842874412	1.0	0.8736764436547826	2.5129990209942346
32_pop_stim_full_inb_new	448.84375	5	5	1.0	0.0556960659360236	1.0	0.8404341048385824	3.195975302995655
32_pop_stim_full_inb_new	448.84375	16	5	1.0	0.1265393021082227	1.0	0.9120352027567136	4.695720367465831
32_pop_stim_full_inb_new	448.84375	24	5	0.2	0.0282901268976176	0.6740890688259109	-0.0948538939806893	16.391014975041593
32_pop_stim_full_inb_new	448.84375	28	5	0.8	0.0310802061524337	0.7435897435897436	0.3045212525793774	-0.5346283783783784
16_pop_stim_full_inh_pto_6	723.3125	4	10	0.7	0.1082453193765247	1.0	0.4118663465681297	3.294184711886745
